o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
50,44,291,44.157,-72.883,41.717,-71.461
01,40,3427,32.782,-86.836,35.555,-96.916
40,02,258,35.396,-97.312,62.621,-147.902
12,05,8470,28.572,-82.65,35.128,-92.447
12,11,2236,27.643,-81.597,38.904,-77.03
08,28,1601,39.421,-105.199,32.473,-89.608
19,20,7136,41.791,-93.584,38.495,-96.277
48,24,5843,31.09,-97.246,39.174,-76.835
49,45,783,40.435,-111.883,33.87,-80.802
26,33,246,42.935,-84.451,43.176,-71.39
11,41,38,38.911,-77.02,45.385,-122.437
32,44,32,37.627,-117.26,41.862,-71.453
22,16,384,30.994,-91.803,44.163,-115.67
10,34,12218,39.461,-75.603,40.005,-74.829
29,08,17483,38.52,-92.795,39.578,-105.114
28,46,223,32.53,-89.305,43.88,-99.232
35,25,91,34.868,-106.027,42.358,-71.174
47,30,1006,35.841,-85.967,46.246,-111.127
29,27,4761,38.524,-92.615,45.047,-93.519
36,32,2201,41.367,-74.723,36.789,-115.842
08,54,370,39.436,-105.051,38.81,-80.838
24,54,14809,39.445,-77.893,39.366,-78.767
05,33,110,34.893,-92.985,43.169,-71.438
05,27,1487,35.328,-92.906,45.528,-93.708
17,17,13547624,41.242,-88.42,41.265,-88.397
20,19,5668,38.621,-96.104,41.721,-93.323
37,11,1830,35.645,-79.258,38.901,-77.017
55,42,1992,43.726,-89.08,40.484,-77.183
40,28,2561,35.565,-96.748,32.861,-89.619
41,72,22,44.395,-122.5,18.377,-65.964
17,44,157,41.646,-88.154,41.717,-71.454
15,26,369,21.254,-157.75,42.673,-83.974
04,01,1518,33.258,-111.865,33.116,-86.749
38,11,28,46.791,-97.149,38.899,-77.013
02,15,1162,61.675,-149.256,20.73,-156.881
40,40,6546927,35.606,-96.9,35.609,-96.896
72,42,1322,18.259,-66.31,40.3,-75.98
01,36,3709,33.04,-86.824,41.68,-74.802
13,06,11434,33.525,-83.928,35.212,-119.017
47,15,805,35.975,-86.391,21.167,-157.579
09,10,537,41.421,-72.964,39.25,-75.499
39,38,478,40.321,-82.843,47.35,-99.291
12,20,6108,28.178,-82.23,38.415,-96.438
42,45,7604,40.494,-77.317,33.754,-80.475
54,17,1218,38.866,-80.793,40.521,-88.769
47,46,437,35.875,-86.327,44.035,-99.994
06,04,97645,34.692,-118.375,33.684,-112.503
28,30,389,32.119,-89.315,46.444,-110.99
22,45,2371,30.673,-91.559,34.048,-81.111
20,27,2332,38.646,-96.149,44.969,-93.545
21,46,255,37.497,-85.955,43.817,-99.944
06,35,12737,35.318,-118.959,34.548,-106.659
49,51,1233,40.303,-111.968,38.103,-77.472
18,55,6656,40.593,-86.439,43.567,-88.943
05,36,1045,35.269,-92.863,41.913,-75.132
06,49,26966,35.061,-118.814,39.885,-112.104
30,09,61,45.717,-110.811,41.707,-72.714
18,12,54468,40.175,-86.226,27.611,-81.949
33,48,1070,43.275,-71.509,31.032,-97.365
34,06,5079,40.49,-74.368,35.062,-119.062
39,37,12958,40.364,-82.879,35.414,-80.001
41,49,2864,44.588,-121.938,40.163,-112.024
46,13,493,43.952,-99.937,33.343,-83.974
56,41,386,42.144,-106.442,44.9,-121.801
56,55,288,42.567,-106.587,43.975,-89.961
25,35,259,42.276,-71.42,34.702,-106.238
46,28,129,43.797,-98.041,32.062,-89.453
72,31,9,18.291,-65.873,41.471,-99.715
47,49,2077,35.769,-86.227,40.327,-111.875
17,50,136,41.395,-88.497,43.847,-72.735
34,41,361,40.43,-74.369,45.061,-122.229
36,23,2061,41.916,-74.857,44.07,-69.961
21,10,148,37.676,-84.915,39.332,-75.527
33,34,1379,43.191,-71.43,40.565,-74.402
53,05,849,47.308,-121.526,35.278,-92.891
12,47,64698,28.452,-82.404,35.806,-85.352
42,22,1682,40.482,-77.393,30.775,-91.482
04,24,1463,33.253,-111.827,39.093,-76.762
54,55,1143,38.926,-80.286,43.37,-88.413
05,51,1757,35.237,-92.855,37.786,-78.257
50,37,486,43.985,-72.764,35.429,-79.872
72,53,115,18.384,-66.51,47.46,-121.977
21,35,801,37.675,-85.975,34.603,-106.274
15,50,46,21.384,-157.612,44.687,-73.049
40,36,1383,35.644,-96.887,41.804,-74.997
32,37,970,36.668,-115.842,35.345,-79.989
32,23,105,36.617,-115.759,44.656,-69.799
38,48,4162,47.62,-100.805,30.753,-97.416
34,18,1387,40.415,-74.461,40.284,-86.142
51,53,2080,37.732,-77.516,47.341,-121.841
51,47,54880,37.139,-80.608,36.196,-83.743
29,39,5964,38.248,-92.084,40.281,-83.027
39,44,262,40.153,-82.815,41.728,-71.476
27,24,614,45.069,-93.533,39.054,-76.838
04,35,16195,33.65,-111.46,34.675,-106.891
04,21,1604,33.359,-111.808,37.902,-85.749
13,29,7264,33.305,-83.807,38.351,-92.081
33,53,131,43.195,-71.687,47.44,-121.918
17,18,132454,40.863,-87.989,40.527,-87.032
44,51,845,41.678,-71.425,38.008,-77.488
