o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
Florida,Hawaii,6,26.945,-80.872,21.282,-157.835
Utah,North Carolina,6,40.589,-111.425,35.525,-79.767
North Carolina,Iowa,9,35.396,-80.581,41.647,-93.196
Mississippi,Tennessee,337,34.406,-89.749,35.328,-89.079
West Virginia,Kansas,2,39.0,-80.5,40.0,-100.0
Virginia,Illinois,33,38.194,-77.085,41.647,-87.923
Colorado,Texas,192,39.247,-105.262,32.0,-98.213
Maine,Rhode Island,1,43.834,-70.119,41.817,-71.422
Massachusetts,Tennessee,11,42.412,-71.126,35.928,-86.494
Montana,South Dakota,1,45.688,-111.083,43.761,-99.407
Indiana,New Mexico,4,40.828,-86.753,33.806,-104.929
New Jersey,Arkansas,5,40.355,-74.222,35.25,-93.085
Arkansas,California,9,34.739,-93.111,34.801,-118.792
North Carolina,Colorado,12,35.686,-79.223,39.401,-105.449
North Carolina,Missouri,12,35.485,-80.763,38.671,-92.437
Kansas,Oregon,1,37.684,-97.344,45.672,-118.809
New Hampshire,Alabama,1,43.544,-71.478,33.298,-86.78
Arizona,Arizona,44081,33.348,-111.891,33.379,-111.888
District of Columbia,Alabama,6,38.914,-77.028,33.503,-86.714
Nevada,Oregon,25,37.858,-117.077,44.72,-121.964
Virginia,Wyoming,1,37.53,-77.489,43.353,-109.468
District of Columbia,North Carolina,53,38.898,-77.021,35.669,-79.857
Indiana,Hawaii,1,41.087,-85.17,20.898,-156.422
New Hampshire,Florida,6,43.123,-71.628,27.986,-81.142
South Carolina,Missouri,4,33.936,-81.912,37.872,-91.354
Ohio,Virginia,53,40.357,-82.658,38.162,-77.968
Wyoming,Washington,7,43.322,-106.338,47.604,-122.183
Alabama,Minnesota,2,31.531,-87.217,44.922,-93.273
California,Arizona,680,34.295,-117.964,33.669,-112.159
Montana,Idaho,12,46.389,-113.004,45.657,-114.023
Washington,Mississippi,3,47.344,-119.548,32.978,-89.864
Kansas,Minnesota,7,38.803,-98.398,45.342,-94.076
New Hampshire,New York,26,43.123,-71.511,41.303,-74.323
Louisiana,North Dakota,1,29.983,-90.011,47.907,-97.066
Nevada,New Jersey,14,36.096,-115.141,40.708,-74.153
Illinois,Nevada,36,41.786,-87.964,36.478,-115.667
Arkansas,Michigan,2,35.729,-92.388,42.105,-84.703
Georgia,Mississippi,109,33.763,-84.274,32.341,-89.663
Virginia,Wisconsin,2,38.873,-77.122,43.586,-89.597
Louisiana,Alabama,108,30.357,-90.791,32.428,-87.01
Georgia,Maryland,56,33.549,-84.191,39.102,-76.691
Wyoming,Louisiana,3,42.98,-110.34,30.232,-90.455
Oregon,Oklahoma,3,45.587,-121.214,34.936,-96.981
Nebraska,Pennsylvania,1,41.252,-95.998,40.621,-79.153
Montana,Alabama,1,48.359,-114.946,32.7,-86.7
North Carolina,Virginia,456,35.752,-79.258,37.507,-78.165
North Carolina,North Dakota,2,35.834,-81.171,47.442,-98.392
Missouri,New York,40,38.452,-92.42,41.041,-74.274
West Virginia,South Carolina,10,38.314,-80.803,33.407,-80.457
Florida,Alabama,127,29.632,-84.612,32.143,-86.658
Indiana,Rhode Island,2,39.376,-86.661,41.847,-71.4
California,Ohio,65,34.944,-119.143,40.583,-82.64
Pennsylvania,Virginia,174,40.18,-76.497,38.244,-77.78
District of Columbia,Maryland,1953,38.899,-77.013,38.962,-76.912
West Virginia,Tennessee,9,38.402,-81.052,35.721,-86.9
Kansas,Oklahoma,75,38.033,-96.797,35.695,-97.498
Illinois,Rhode Island,3,41.883,-87.783,41.628,-71.395
District of Columbia,Missouri,8,38.897,-77.024,38.81,-92.182
Maryland,Michigan,11,39.08,-76.829,42.494,-83.404
South Carolina,Washington,3,33.941,-80.766,47.535,-122.325
New York,Kentucky,25,40.983,-74.284,37.535,-85.368
Arkansas,Louisiana,30,34.297,-92.811,31.752,-92.201
Hawaii,Georgia,6,21.489,-158.155,33.727,-84.451
Wisconsin,Wyoming,1,42.683,-89.022,44.136,-105.714
Georgia,South Dakota,1,33.631,-84.47,43.879,-103.448
District of Columbia,Colorado,12,38.899,-77.019,39.435,-105.639
California,Hawaii,105,35.187,-119.468,21.155,-157.489
Pennsylvania,Indiana,30,40.454,-78.342,40.177,-86.113
Tennessee,Minnesota,8,35.918,-87.515,45.831,-93.338
Idaho,Massachusetts,1,47.322,-116.658,42.096,-70.906
Iowa,North Carolina,7,41.6,-93.335,35.402,-79.978
Minnesota,Hawaii,4,44.722,-93.45,21.686,-158.652
Maryland,Mississippi,1,38.981,-77.118,34.651,-89.97
Kansas,California,79,38.548,-97.477,35.14,-119.24
Michigan,West Virginia,2,42.296,-83.829,37.907,-82.169
New Jersey,Washington,15,40.616,-74.341,47.348,-122.068
Hawaii,Indiana,3,21.131,-157.353,41.016,-85.894
Rhode Island,Massachusetts,426,41.792,-71.427,42.055,-71.261
New York,New Hampshire,26,41.822,-75.005,43.208,-71.535
Wisconsin,Massachusetts,5,43.118,-88.097,42.178,-71.936
Kansas,Georgia,27,38.984,-97.563,33.217,-83.963
Hawaii,New Hampshire,1,21.36,-157.882,42.795,-71.226
Nebraska,Wyoming,2,41.368,-100.176,41.144,-104.438
Nebraska,Nebraska,8289,41.147,-96.544,41.157,-96.635
Kentucky,Pennsylvania,10,38.155,-84.795,40.433,-77.569
Utah,Idaho,40,40.83,-112.002,44.382,-114.349
Missouri,Indiana,40,38.517,-91.209,39.967,-86.601
Wisconsin,Nevada,8,43.121,-88.083,36.186,-115.161
Delaware,New York,42,39.377,-75.544,40.852,-73.812
Nevada,Maine,1,39.005,-118.689,45.066,-67.62
North Carolina,New Hampshire,1,35.368,-81.963,44.001,-71.566
Mississippi,Maine,1,32.429,-90.124,44.213,-69.076
California,Texas,509,34.619,-118.712,31.395,-97.778
Pennsylvania,California,70,40.183,-76.993,35.289,-119.488
Indiana,Georgia,38,40.011,-86.125,33.303,-83.79
Vermont,North Carolina,2,43.607,-72.974,34.655,-77.23
New Hampshire,District of Columbia,1,42.971,-71.444,38.893,-77.015
North Dakota,New Jersey,1,46.865,-96.83,40.695,-74.933
Delaware,Georgia,2,39.41,-75.634,33.798,-84.486
Tennessee,Connecticut,4,35.646,-87.552,41.413,-73.007
Mississippi,Texas,120,32.482,-89.836,31.068,-96.987
District of Columbia,California,28,38.899,-77.024,35.54,-119.832
Missouri,Kentucky,20,38.294,-91.682,37.774,-85.83
California,Nevada,1101,35.503,-118.827,36.943,-116.187
West Virginia,West Virginia,5037,38.823,-81.023,38.834,-80.941
Kentucky,Missouri,17,37.774,-85.842,38.771,-92.18
Connecticut,District of Columbia,10,41.367,-73.036,38.901,-77.014
Georgia,Oklahoma,31,33.721,-84.275,35.356,-96.908
Oregon,North Carolina,5,45.527,-122.724,35.319,-79.068
Georgia,Utah,9,33.733,-84.413,40.112,-112.082
Indiana,Iowa,19,40.941,-86.329,41.925,-93.084
Minnesota,Oregon,4,44.661,-94.049,44.603,-121.942
Illinois,Maine,1,41.834,-87.732,43.696,-70.293
Florida,Kentucky,49,28.071,-81.758,37.931,-85.446
Indiana,Nebraska,1,41.629,-85.014,41.14,-95.941
Wyoming,Mississippi,1,42.83,-106.331,31.465,-88.932
Oklahoma,Pennsylvania,8,35.995,-97.638,40.377,-76.43
Texas,Rhode Island,2,34.071,-99.448,41.788,-71.407
Alabama,Iowa,3,33.762,-85.774,41.828,-93.295
Alaska,North Carolina,1,61.218,-149.892,35.5,-80.0
Pennsylvania,Tennessee,35,40.309,-76.847,35.883,-86.653
Indiana,California,44,40.053,-86.231,34.743,-118.73
Mississippi,Arkansas,26,33.607,-89.945,34.781,-91.917
Indiana,Indiana,33909,40.129,-86.229,40.115,-86.238
New Mexico,Michigan,4,35.599,-107.178,42.414,-83.759
Washington,Kansas,3,47.533,-121.865,39.186,-98.789
Utah,Georgia,3,40.776,-111.949,33.397,-84.127
Virginia,Utah,2,38.803,-77.139,39.167,-110.955
Connecticut,Hawaii,1,41.279,-72.816,22.203,-159.496
Arizona,Massachusetts,11,33.465,-112.06,42.361,-71.229
Michigan,North Carolina,19,42.507,-83.264,35.56,-80.15
Hawaii,Maryland,3,21.331,-157.864,39.096,-76.657
Kansas,Missouri,617,38.881,-94.994,38.957,-94.204
Maryland,Washington,2,39.124,-76.776,47.549,-122.274
Massachusetts,New Hampshire,331,42.454,-71.248,43.128,-71.42
Iowa,New Hampshire,3,41.509,-92.377,43.105,-71.431
South Carolina,Massachusetts,4,33.703,-80.23,42.166,-71.567
Georgia,Michigan,30,33.585,-84.185,42.501,-83.641
Oregon,Kentucky,1,44.931,-123.029,38.078,-84.453
Nebraska,New Mexico,5,41.248,-96.525,34.991,-106.499
Texas,Maryland,52,31.224,-96.712,39.118,-76.864
South Dakota,Montana,3,43.63,-102.788,46.403,-110.277
Indiana,Pennsylvania,32,40.372,-86.05,40.407,-77.43
New Hampshire,Vermont,30,43.377,-71.694,43.83,-72.606
Nevada,North Carolina,17,36.443,-115.593,35.586,-79.941
Washington,South Carolina,3,47.5,-122.307,33.925,-81.134
Georgia,District of Columbia,24,33.729,-84.408,38.899,-77.016
Arizona,Oregon,15,33.45,-112.156,44.435,-121.332
Minnesota,Oklahoma,3,44.483,-92.824,35.273,-96.789
Iowa,Minnesota,74,42.152,-93.194,44.97,-93.377
Maine,Washington,3,44.922,-69.869,47.274,-122.832
Maine,Massachusetts,52,43.86,-70.086,42.362,-71.254
Kansas,Kentucky,6,39.45,-99.01,38.188,-85.546
Washington,Minnesota,9,47.247,-121.869,45.576,-93.214
District of Columbia,New York,114,38.9,-77.022,40.915,-74.05
